id_stop_departure,id_stop_arrival,price,departure_datetime,arrival_datetime
9,3060,524,9:40:00,16:45:00
9,10,524,16:20:00,21:40:00
9,308,534,9:40:00,17:00:00
9,1699,602,9:40:00,17:40:00
9,10,602,16:15:00,21:35:00
9,10,602,0:30:00,5:50:00
9,49,602,0:30:00,6:30:00
9,10,602,9:00:00,14:20:00
9,4763,602,10:00:00,17:10:00
9,2062,602,23:45:00,6:10:00
9,3287,602,10:00:00,16:05:00
9,3060,602,23:45:00,5:15:00
9,3060,602,10:00:00,15:20:00
9,3287,602,23:45:00,5:50:00
9,3062,602,10:00:00,15:45:00
9,2062,602,10:00:00,16:30:00
9,3062,602,23:45:00,5:35:00
9,163,602,10:00:00,15:00:00
9,3229,602,23:45:00,5:25:00
9,7,448,1:00:00,6:00:00
9,7,448,15:15:00,20:00:00
9,49,524,16:40:00,22:05:00
9,10,524,6:00:00,11:15:00
9,10,524,23:30:00,5:15:00
9,10,524,17:50:00,22:55:00
9,10,524,19:45:00,1:00:00
9,10,524,18:30:00,0:15:00
9,49,524,12:30:00,18:45:00
9,10,524,16:00:00,21:15:00
9,10,524,16:30:00,21:45:00
9,10,524,11:30:00,17:15:00
9,10,524,1:00:00,6:15:00
9,10,524,17:30:00,22:45:00
9,10,524,23:00:00,4:15:00
9,10,524,1:50:00,7:05:00
9,10,524,2:00:00,7:15:00
9,49,524,0:10:00,5:25:00
9,10,524,17:00:00,22:15:00
9,10,524,0:45:00,6:30:00
9,49,524,13:00:00,19:30:00
9,10,524,10:00:00,15:15:00
9,10,524,23:45:00,5:00:00
9,1447,534,0:15:00,7:00:00
9,10,524,15:30:00,20:45:00
9,1447,534,0:10:00,6:00:00
9,1447,534,13:00:00,20:20:00
9,10,524,9:30:00,14:45:00
9,10,524,13:30:00,18:45:00
9,10,524,0:30:00,5:45:00
9,10,524,14:00:00,19:15:00
9,10,524,13:00:00,18:15:00
9,49,524,15:00:00,20:15:00
9,10,524,16:05:00,21:15:00
9,1447,534,16:40:00,22:30:00
9,10,524,15:00:00,20:45:00
9,10,524,17:35:00,22:45:00
9,10,524,11:00:00,16:15:00
9,10,524,2:30:00,7:45:00
9,10,524,17:20:00,22:35:00
9,4763,524,0:05:00,7:10:00
9,10,524,0:15:00,5:30:00
9,10,602,17:30:00,22:45:00
9,10,602,14:30:00,19:45:00
9,10,602,14:00:00,19:15:00
9,10,602,23:00:00,4:15:00
9,10,602,1:30:00,6:45:00
9,10,602,15:30:00,20:45:00
9,10,602,16:00:00,21:15:00
9,10,602,18:30:00,0:15:00
9,10,602,1:00:00,6:15:00
9,10,602,13:00:00,18:15:00
9,10,602,19:45:00,1:00:00
9,10,602,9:30:00,14:45:00
9,49,602,9:30:00,16:00:00
9,49,602,23:30:00,6:00:00
9,806,612,13:00:00,20:35:00
9,10,602,1:50:00,7:05:00
9,10,602,17:00:00,22:15:00
9,10,602,0:45:00,6:30:00
9,10,602,11:00:00,16:15:00
9,10,602,13:20:00,18:35:00
9,1063,612,23:30:00,5:28:00
9,49,602,16:40:00,22:05:00
9,10,602,18:25:00,0:15:00
9,10,602,10:55:00,16:10:00
9,10,602,0:30:00,5:45:00
9,10,602,11:25:00,17:10:00
9,10,602,17:15:00,22:30:00
9,10,602,6:00:00,11:15:00
9,10,602,12:00:00,17:15:00
10,1337,720,23:00:00,7:10:00
10,1337,756,22:30:00,6:30:00
10,1337,720,22:30:00,6:30:00
10,1337,756,23:00:00,7:10:00
10,1337,756,22:45:00,6:45:00
10,1337,720,22:55:00,6:55:00
10,1337,756,22:55:00,6:55:00
10,2692,756,23:00:00,7:00:00
10,2692,720,23:00:00,7:00:00
10,1337,720,22:20:00,6:20:00
10,1337,720,22:45:00,6:45:00
10,3275,1455,18:30:00,11:20:00
10,594,850,18:30:00,3:15:00
10,369,1125,19:30:00,8:05:00
10,369,1125,19:00:00,7:35:00
10,369,1297,19:00:00,7:35:00
10,369,1297,18:30:00,7:05:00
10,106,1455,18:30:00,10:20:00
10,106,1455,19:30:00,11:20:00
10,372,1320,18:30:00,10:15:00
10,372,1320,18:40:00,10:25:00
10,3275,1455,18:40:00,11:30:00
10,3275,1750,19:00:00,11:50:00
10,594,850,19:00:00,3:45:00
10,594,1026,18:30:00,3:15:00
10,651,919,19:30:00,5:40:00
10,651,1156,19:00:00,5:10:00
10,372,1320,19:00:00,10:45:00
10,372,1320,19:30:00,11:15:00
10,372,1588,19:00:00,10:45:00
10,593,750,19:30:00,3:05:00
10,369,1297,19:00:00,11:00:00
10,3275,1750,18:30:00,11:20:00
10,8937,1240,18:30:00,9:05:00
10,593,900,19:00:00,2:35:00
10,1836,782,19:00:00,1:35:00
10,594,1026,19:00:00,3:45:00
10,350,1297,19:00:00,8:15:00
10,350,1297,18:30:00,7:45:00
