id,name,city,province,latitud,longitud
480,General Levalle,General Levalle,Córdoba,"-3.290.173,00","-68.841.995,00"
2290,Trenel,Trenel,La Pampa,"-35.698.632,00","-64.134.152,00"
2941,Candelaria,Candelaria,Misiones,"-274.705.059,00","-557.497.627,00"
2963,Santo Pipo,Santo Pipo,Misiones,"-271.422.949,00","-554.050.827,00"
3957,La Esperanza,La Esperanza,Santa Cruz,,
4676,Concepcion,Concepcion,Corrientes,,
1449,El Motivo,Pacheco,Buenos Aires,,
387,La Carlota,La Carlota,Córdoba,"-334.187.457,00","-632.930.808,00"
2383,Villa La Angostura,Villa La Angostura,Neuquén,"-407.628.368,00","-71.638.391,00"
115,Gonzalez Catan,Gonzalez Catan,Buenos Aires,"-347.769.197,00","-586.408.186,00"
647,Allen,Allen,Rio Negro,"-38.980.596,00","-678.307.486,00"
3409,Puerto Santa Cruz,Santa Cruz,Santa Cruz,"-464.437.291,00","-675.139.587,00"
3559,San Pedro,San Pedro,Misiones,"-266.282.019,00","-541.227.293,00"
5040,Tudcum,Tudcum,San Juan,,
1462,Federacion Acceso,Federacion,Entre Rios,"-310.329.316,00","-580.727.005,00"
1058,Presidencia de la Plaza,Presidencia de la Plaza,Chaco,"-270.077.112,00","-598.476.791,00"
352,Santa Sylvina,Santa Sylvina,Chaco,"-278.283.741,00","-611.382.294,00"
184,Hurlingham,Hurlingham ,Buenos Aires,"-345.791.459,00","-586.410.435,00"
102,Selva,Selva,Santiago del Estero,,
2067,Villa Ballester,San Martin,Buenos Aires,"-345.514.049,00","-585.536.742,00"
466,Desaguadero,Desaguadero,Mendoza,"-33.402.467,00","-67.155.987,00"
3670,Barrancas,Barrancas,Neuquén,,
8972,Santa Rosa de Rio Primero,Santa Rosa de Río Primero,Córdoba,"-311.539.332,00","-634.059.691,00"
97,Colonia Dora,Colonia Dora,Santiago del Estero,"-28.603.885,00","-62.951.482,00"
1392,Chajarí Acceso,Chajari,Entre Rios,"-307.566.899,00","-580.199.361,00"
105,Campo Largo,Campo Largo,Chaco,"-314.365.841,00","-644.977.687,00"
522,Terminal de Cutral Co,Cutral Co,Neuquén,"-389.300.658,00","-692.257.869,00"
238,Remedios de Escalada,Remedios de Escalada,Buenos Aires,"-347.273.654,00","-583.958.707,00"
623,Fitz Roy,Fitz Roy,Santa Cruz,"-470.244.893,00","-672.480.011,00"
2203,Pellegrini,Pellegrini,Buenos Aires,"-362.662.409,00","-631.644.244,00"
3564,Cuatro Bocas,Cuatro Bocas,Corrientes,,
3192,Jose de San Martin,Jose de San Martin,Chubut,,
3664,Añelo,Añelo,Neuquén,,
3794,Pozo del Molle,Pozo del Molle,Córdoba,"-32.016.178,00","-629.152.436,00"
4892,Santa Rosa,Santa Rosa,Corrientes,,
